alpha,chi2
9.597598e-01,8.647273e+01
9.601602e-01,8.645213e+01
9.605606e-01,8.643191e+01
9.609610e-01,8.641208e+01
9.613614e-01,8.639263e+01
9.617618e-01,8.637357e+01
9.621622e-01,8.635489e+01
9.625626e-01,8.633660e+01
9.629630e-01,8.631869e+01
9.633634e-01,8.630117e+01
9.637638e-01,8.628402e+01
9.641642e-01,8.626725e+01
9.645646e-01,8.625087e+01
9.649650e-01,8.623487e+01
9.653654e-01,8.621924e+01
9.657658e-01,8.620399e+01
9.661662e-01,8.618912e+01
9.665666e-01,8.617462e+01
9.669670e-01,8.616050e+01
9.673674e-01,8.614676e+01
9.677678e-01,8.613338e+01
9.681682e-01,8.612038e+01
9.685686e-01,8.610775e+01
9.689690e-01,8.609549e+01
9.693694e-01,8.608359e+01
9.697698e-01,8.607207e+01
9.701702e-01,8.606091e+01
9.705706e-01,8.605012e+01
9.709710e-01,8.603970e+01
9.713714e-01,8.602964e+01
9.717718e-01,8.601994e+01
9.721722e-01,8.601060e+01
9.725726e-01,8.600163e+01
9.729730e-01,8.599302e+01
9.733734e-01,8.598476e+01
9.737738e-01,8.597686e+01
9.741742e-01,8.596932e+01
9.745746e-01,8.596214e+01
9.749750e-01,8.595531e+01
9.753754e-01,8.594884e+01
9.757758e-01,8.594271e+01
9.761762e-01,8.593694e+01
9.765766e-01,8.593153e+01
9.769770e-01,8.592646e+01
9.773774e-01,8.592174e+01
9.777778e-01,8.591737e+01
9.781782e-01,8.591335e+01
9.785786e-01,8.590967e+01
9.789790e-01,8.590634e+01
9.793794e-01,8.590335e+01
9.797798e-01,8.590071e+01
9.801802e-01,8.589841e+01
9.805806e-01,8.589645e+01
9.809810e-01,8.589482e+01
9.813814e-01,8.589354e+01
9.817818e-01,8.589259e+01
9.821822e-01,8.589197e+01
9.825826e-01,8.589169e+01
9.829830e-01,8.589174e+01
9.833834e-01,8.589212e+01
9.837838e-01,8.589283e+01
9.841842e-01,8.589386e+01
9.845846e-01,8.589522e+01
